p,n,e,z,d
66462,13713792.28,2364347.654,411.2538,
66463,13713764.68,2364347.654,411.0045,
66464,13713737.08,2364347.654,410.5849,
66465,13713709.48,2364347.654,410.3662,
66466,13713681.88,2364347.654,410.3953,
66467,13713653.99,2364347.654,410.518,
66468,13713626.39,2364347.654,410.7508,
66469,13713598.79,2364347.654,410.402,
66470,13713571.19,2364347.654,410.0323,
66471,13713543.59,2364347.654,410.0001,
66472,13713516.01,2364347.654,410,
66473,13713488.09,2364347.654,410,
75273,13713475.09,2364347.654,410,
75274,13713447.49,2364347.654,410,
75275,13713419.89,2364347.654,410,
75276,13713392.29,2364347.654,409.9953,
75277,13713364.69,2364347.654,410.0062,
75278,13713337.09,2364347.654,410.1803,
75279,13713309.49,2364347.654,410.4843,
75280,13713281.89,2364347.654,410.8649,
75281,13713254,2364347.654,411.1198,
75282,13713226.4,2364347.654,411.4314,
75283,13713198.8,2364347.654,411.7237,
75284,13713171.2,2364347.654,413,
75285,13713143.6,2364347.654,412.9971,
75286,13713116.03,2364347.654,413.5393,
75287,13713088.11,2364347.654,415.0007,
75485,13713048.11,2364347.654,415.9129,
75486,13713020.51,2364347.654,417.4078,
75487,13712992.91,2364347.654,418.3624,
75488,13712965.31,2364347.654,420.352,
75489,13712937.71,2364347.654,421.0184,
75490,13712910.11,2364347.654,422.0632,
75491,13712882.51,2364347.654,422.8572,
75492,13712854.91,2364347.654,423.3188,
75493,13712827.02,2364347.654,423.6522,
75494,13712799.42,2364347.654,423.9901,
75495,13712771.82,2364347.654,424.3203,
75496,13712744.22,2364347.654,424.5518,
75497,13712716.62,2364347.654,424.6075,
75498,13712689.04,2364347.654,424.42,
75499,13712661.12,2364347.654,424.0961,
64055,13718436.7,2364369.57,444.6967,
64056,13718409.1,2364369.57,445.0422,
64057,13718381.5,2364369.57,445.2867,
64058,13718353.9,2364369.57,445.6064,
64059,13718326.3,2364369.57,445.8852,
64060,13718298.7,2364369.57,445.8235,
64061,13718271.1,2364369.57,445.9689,
64062,13718243.5,2364369.57,445.9079,
64063,13718215.61,2364369.57,446.0118,
64064,13718188.01,2364369.57,445.9878,
64065,13718160.41,2364369.57,446.0604,
64066,13718132.81,2364369.57,446.0297,
64067,13718105.21,2364369.57,445.9046,
64068,13718077.63,2364369.57,445.479,
64069,13718049.71,2364369.57,445.0411,
69800,13718009.71,2364369.57,444.7018,
69801,13717982.11,2364369.57,444.3889,
69802,13717954.51,2364369.57,444.0102,
69803,13717926.91,2364369.57,443.9464,
69804,13717899.31,2364369.57,443.505,
69805,13717871.71,2364369.57,443.1066,
69806,13717844.11,2364369.57,442.92,
69807,13717816.51,2364369.57,442.2033,
69808,13717788.62,2364369.57,441.779,
69809,13717761.02,2364369.57,441.2335,
69810,13717733.42,2364369.57,440.8202,
69811,13717705.82,2364369.57,440.0387,
69812,13717678.22,2364369.57,440.0034,
69813,13717650.65,2364369.57,439.0125,
69814,13717622.73,2364369.57,438.001,
76558,13715956.01,2364369.57,417.6419,
76559,13715928.41,2364369.57,417.4591,
76560,13715900.81,2364369.57,416.9965,
76561,13715873.21,2364369.57,416.8678,
76562,13715845.61,2364369.57,417,
76563,13715818.01,2364369.57,417.0003,
76564,13715790.41,2364369.57,417.0002,
76565,13715762.81,2364369.57,416.9859,
76566,13715734.92,2364369.57,416.9977,
76567,13715707.32,2364369.57,416.9601,
76568,13715679.72,2364369.57,416.4481,
76569,13715652.12,2364369.57,416.0436,
76570,13715624.52,2364369.57,416.0719,
76571,13715596.94,2364369.57,416.0085,
76572,13715569.03,2364369.57,416.0154,
76700,13715529.03,2364369.57,415.155,
76701,13715501.43,2364369.57,416,
76702,13715473.83,2364369.57,416,
